Time,Open,High,Low,Close,Volume
2022-7-31,70.2,73,70.1,72.5,57654
2022-8-1,71,74,70.5,71.8,9086
2022-8-2,70.4,74,70.2,72,37600
2022-8-3,75.5,75.5,72,72.5,22725
2022-8-4,72.1,74,71.1,71.9,41594
2022-8-7,73.9,73.9,70.9,71.1,11805
2022-8-8,75,75,71,71,12323
2022-8-10,75,75,70.4,70.4,34395
2022-8-11,71.9,71.9,70.2,70.3,7632
2022-8-14,74.8,74.8,70.2,70.3,13924
2022-8-16,73.6,73.6,70.1,70.3,24949
2022-8-17,73.8,74,70.3,70.6,36168
2022-8-21,73.5,74.8,70.5,70.9,46425
2022-8-22,72.4,72.5,70.7,71.1,38220
2022-8-23,71.3,71.3,70.1,70.2,49544
2022-8-24,70.2,70.3,70.1,70.1,34977
2022-8-25,70.5,73.5,70.1,72.5,58400
2022-8-28,74.9,74.9,71.1,73.5,101496
2022-8-29,73.5,73.5,71.2,72,33961
2022-8-30,74,78,71.2,73.1,77389
2022-8-31,73.9,73.9,71.9,72.8,51501
2022-9-1,77.7,77.7,72.2,72.4,83717
2022-9-4,72.2,74,72.1,72.6,134204
2022-9-5,73.2,74.1,72.6,72.8,18088
2022-9-6,73.8,73.8,72.3,72.5,21620
2022-9-7,74.2,74.2,70.8,71.3,58713
2022-9-8,72,72.6,70.1,70.4,74201
2022-9-11,70.2,71.5,70.1,70.1,78389
2022-9-12,72.4,72.4,70.1,70.1,86928
2022-9-13,70.3,71.3,70.1,70.2,40274
2022-9-14,74,74,70.1,70.1,30500
2022-9-15,71,71.5,70.1,70.2,33477
2022-9-18,72,73,70.4,71.9,84307
2022-9-19,70.3,72.8,70.3,71.1,43445
2022-9-20,70.6,70.7,70.1,70.1,54727
2022-9-21,71,71,70.1,70.1,30949
2022-9-22,70.1,70.1,70.1,70.1,20398
2022-9-25,70.1,71.5,70.1,70.2,51247
2022-9-27,68.9,70,66.2,66.9,40909
2022-9-28,67,67.7,66.2,66.5,21767
2022-9-29,67,67,66.3,66.3,7986
2022-10-2,66.3,66.5,66.2,66.2,18836
2022-10-3,66.2,66.8,66.2,66.2,15211
2022-10-4,66.2,66.5,66.2,66.2,7578
2022-10-6,66.2,66.7,66.2,66.4,4121
2022-10-10,66.2,66.2,66.2,66.2,5017
2022-10-11,66.2,66.2,66.2,66.2,5906
2022-10-12,66.2,66.2,66.2,66.2,1042
2022-10-13,66.2,66.2,66.2,66.2,6695
2022-10-16,66.2,66.4,66.2,66.2,21040
2022-10-17,66.2,66.2,66.2,66.2,13371
2022-10-18,66.2,71.8,66.2,66.2,21544
2022-10-19,66.2,66.2,66.2,66.2,4926
2022-10-20,66.2,66.2,66.2,66.2,1782
2022-10-23,66.2,66.2,66.2,66.2,390
2022-10-24,66.2,66.2,66.2,66.2,58
2022-10-25,66.2,66.2,66.2,66.2,76
2022-10-26,66.2,66.2,66.2,66.2,500
2022-10-30,66.2,66.2,66.2,66.2,3084
2022-10-31,66.2,66.2,66.2,66.2,500
